SongName,Era,Lyrics,LineNum
Miss Americana & The Heartbreak Prince,Lover Act,"Darling, I'm scared (Ah)",27
Miss Americana & The Heartbreak Prince,Lover Act,No cameras catch my muffled cries,28
Miss Americana & The Heartbreak Prince,Lover Act,"I counted days, I counted miles",29
Miss Americana & The Heartbreak Prince,Lover Act,"To see you there, to see you there",30
Miss Americana & The Heartbreak Prince,Lover Act,"And now the storm is coming, but",31
Miss Americana & The Heartbreak Prince,Lover Act,"It's you and me, that's my whole world",32
Miss Americana & The Heartbreak Prince,Lover Act,"They whisper in the hallway, She's a bad, bad girl (Okay)",33
Miss Americana & The Heartbreak Prince,Lover Act,The whole school is rolling fake dice,34
Miss Americana & The Heartbreak Prince,Lover Act,"You play stupid games, you win stupid prizes",35
Miss Americana & The Heartbreak Prince,Lover Act,"It's you and me, there's nothing like this",36
Miss Americana & The Heartbreak Prince,Lover Act,Miss Americana and The Heartbreak Prince (Okay),37
Miss Americana & The Heartbreak Prince,Lover Act,"We're so sad, we paint the town blue",38
Miss Americana & The Heartbreak Prince,Lover Act,Voted most likely to run away with you,39
Miss Americana & The Heartbreak Prince,Lover Act,"And I don't want you to (Go), I don't really wanna (Fight)",40
Miss Americana & The Heartbreak Prince,Lover Act,"'Cause nobody's gonna (Win), I think you should come home",41
Miss Americana & The Heartbreak Prince,Lover Act,"And I don't want you to (Go), I don't really wanna (Fight)",42
Miss Americana & The Heartbreak Prince,Lover Act,"'Cause nobody's gonna (Win), I think you should come home",43
Miss Americana & The Heartbreak Prince,Lover Act,"And I don't want you to (Go), I don't really wanna (Fight)",44
Miss Americana & The Heartbreak Prince,Lover Act,"'Cause nobody's gonna (Win), just thought you should know",45
Miss Americana & The Heartbreak Prince,Lover Act,And I'll never let you (Go) 'cause I know this is a (Fight),46
Miss Americana & The Heartbreak Prince,Lover Act,That someday we're gonna (Win),47
Miss Americana & The Heartbreak Prince,Lover Act,"It's you and me, that's my whole world",48
Miss Americana & The Heartbreak Prince,Lover Act,"They whisper in the hallway, She's a bad, bad girl",49
Miss Americana & The Heartbreak Prince,Lover Act,"Oh, I just thought you should know (You should know)",50
Miss Americana & The Heartbreak Prince,Lover Act,"It's you and me, there's nothing like this (Like this)",51
Miss Americana & The Heartbreak Prince,Lover Act,Miss Americana and The Heartbreak Prince (Okay),52
Miss Americana & The Heartbreak Prince,Lover Act,"We're so sad, we paint the town blue (Paint it blue)",53
Miss Americana & The Heartbreak Prince,Lover Act,Voted most likely to run away with you,54
Miss Americana & The Heartbreak Prince,Lover Act,"And I don't want you to (Go), I don't really wanna (Fight)",55
Miss Americana & The Heartbreak Prince,Lover Act,"'Cause nobody's gonna (Win), I think you should come home",56
Miss Americana & The Heartbreak Prince,Lover Act,And I'll never let you (Go) 'cause I know this is a (Fight),57
Miss Americana & The Heartbreak Prince,Lover Act,"That someday we're gonna (Win), just thought you should know",58
Miss Americana & The Heartbreak Prince,Lover Act,"It's you and me, that's my whole world",59
Miss Americana & The Heartbreak Prince,Lover Act,"They whisper in the hallway, She's a bad, bad girl",60
Miss Americana & The Heartbreak Prince,Lover Act,"She's a bad, bad girl95Embed",61
Cruel Summer,Lover Act,"(Yeah, yeah, yeah, yeah)",0
Cruel Summer,Lover Act,Fever dream high in the quiet of the night,1
Cruel Summer,Lover Act,"You know that I caught it (Oh yeah, you're right, I want it)",2
Cruel Summer,Lover Act,"Bad, bad boy, shiny toy with a price",3
Cruel Summer,Lover Act,"You know that I bought it (Oh yeah, you're right, I want it)",4
Cruel Summer,Lover Act,"Killing me slow, out the window",5
Cruel Summer,Lover Act,I'm always waiting for you to be waiting below,6
Cruel Summer,Lover Act,"Devils roll the dice, angels roll their eyes",7
Cruel Summer,Lover Act,What doesn't kill me makes me want you more,8
Cruel Summer,Lover Act,"And it's new, the shape of your body",9
Cruel Summer,Lover Act,"It's blue, the feeling I've got",10
Cruel Summer,Lover Act,"And it's ooh, woah-oh",11
Cruel Summer,Lover Act,It's a cruel summer,12
Cruel Summer,Lover Act,"It's cool, that's what I tell 'em",13
Cruel Summer,Lover Act,No rules in breakable heaven,14
Cruel Summer,Lover Act,"But ooh, woah-oh",15
Cruel Summer,Lover Act,It's a cruel summer with you,16
Cruel Summer,Lover Act,Hang your head low in the glow of the vending machine,17
Cruel Summer,Lover Act,"I'm not dying (Oh yeah, you're right, I want it)",18
Cruel Summer,Lover Act,We say that we'll just screw it up in these trying times,19
Cruel Summer,Lover Act,"We're not trying (Oh yeah, you're right, I want it)",20
Cruel Summer,Lover Act,"So cut the headlights, summer's a knife",21
Cruel Summer,Lover Act,I'm always waiting for you just to cut to the bone,22
Cruel Summer,Lover Act,"Devils roll the dice, angels roll their eyes",23
Cruel Summer,Lover Act,"And if I bleed, you'll be the last to know, oh",24
Cruel Summer,Lover Act,"It's new, the shape of your body",25
Cruel Summer,Lover Act,"It's blue, the feeling I've got",26
Cruel Summer,Lover Act,"And it's ooh, woah-oh",27
Cruel Summer,Lover Act,It's a cruel summer,28
Cruel Summer,Lover Act,"It's cool, that's what I tell 'em",29
Cruel Summer,Lover Act,No rules in breakable heaven,30
Cruel Summer,Lover Act,"But ooh, woah-oh",31
Cruel Summer,Lover Act,It's a cruel summer with you,32
Cruel Summer,Lover Act,I'm drunk in the back of the car,33
Cruel Summer,Lover Act,And I cried like a baby comin' home from the bar (Oh),34
Cruel Summer,Lover Act,"Said, I'm fine, but it wasn't true",35
Cruel Summer,Lover Act,I don't wanna keep secrets just to keep you,36
Cruel Summer,Lover Act,And I snuck in through the garden gate,37
Cruel Summer,Lover Act,Every night that summer just to seal my fate (Oh),38
Cruel Summer,Lover Act,"And I scream, For whatever it's worth",39
Cruel Summer,Lover Act,"I love you, ain't that the worst thing you ever heard?",40
Cruel Summer,Lover Act,"He looks up, grinnin' like a devil",41
Cruel Summer,Lover Act,"It's new, the shape of your body",42
Cruel Summer,Lover Act,"It's blue, the feeling I've got",43
Cruel Summer,Lover Act,"And it's ooh, woah-oh",44
Cruel Summer,Lover Act,It's a cruel summer,45
Cruel Summer,Lover Act,"It's cool, that's what I tell 'em",46
Cruel Summer,Lover Act,No rules in breakable heaven,47
Cruel Summer,Lover Act,"But ooh, woah-oh",48
Cruel Summer,Lover Act,It's a cruel summer with you,49
Cruel Summer,Lover Act,I'm drunk in the back of the car,50
Cruel Summer,Lover Act,And I cried like a baby comin' home from the bar (Oh),51
Cruel Summer,Lover Act,"Said, I'm fine, but it wasn't true",52
Cruel Summer,Lover Act,I don't wanna keep secrets just to keep you,53
Cruel Summer,Lover Act,And I snuck in through the garden gate,54
Cruel Summer,Lover Act,Every night that summer just to seal my fate (Oh),55
Cruel Summer,Lover Act,"And I scream, For whatever it's worth",56
Cruel Summer,Lover Act,"I love you, ain't that the worst thing you ever heard?",57
Cruel Summer,Lover Act,"(Yeah, yeah, yeah, yeah)98Embed",58
The Man,Lover Act,"I would be complex, I would be cool",0
The Man,Lover Act,They'd say I played the field before I found someone to commit to,1
The Man,Lover Act,And that would be okay for me to do,2
The Man,Lover Act,Every conquest I had made would make me more of a boss to you,3
The Man,Lover Act,"I’d be a fearless leader, I'd be an alpha type",4
The Man,Lover Act,"When everyone believes ya, what's that like?",5
The Man,Lover Act,I’m so sick of running as fast as I can,6
The Man,Lover Act,Wonderin' if I'd get there quicker if I was a man,7
The Man,Lover Act,And I'm so sick of them comin' at me again,8
The Man,Lover Act,"'Cause if I was a man, then I'd be the man",9
The Man,Lover Act,I'd be the man (Man),10
The Man,Lover Act,I’d be the man (Man),11
The Man,Lover Act,"They’d say I hustled, put in the work",12
The Man,Lover Act,They wouldn't shake their heads and question how much of this I deserve,13
The Man,Lover Act,"What I was wearing, if I was rude",14
The Man,Lover Act,Could all be separated from my good ideas and power moves,15
The Man,Lover Act,"And they would toast to me, oh (Ayy), let the players play",16
The Man,Lover Act,I’d be just like Leo in Saint-Tropez,17
The Man,Lover Act,I'm so sick of running as fast as I can,18
The Man,Lover Act,Wonderin' if I'd get there quicker if I was a man,19
The Man,Lover Act,And I’m so sick of them comin' at me again,20
The Man,Lover Act,"'Cause if I was a man, then I'd be the man",21
The Man,Lover Act,I'd be the man (Man),22
The Man,Lover Act,I'd be the man (Man),23
The Man,Lover Act,What's it like to brag about raking in dollars,24
The Man,Lover Act,And getting bitches and models?,25
The Man,Lover Act,And it's all good if you're bad,26
The Man,Lover Act,And it's okay if you're mad,27
The Man,Lover Act,If I was out flashin' my dollars,28
The Man,Lover Act,"I'd be a bitch, not a baller",29
The Man,Lover Act,They'd paint me out to be bad,30
The Man,Lover Act,So it's okay that I'm mad,31
The Man,Lover Act,I'm so sick of running as fast as I can,32
The Man,Lover Act,Wonderin' if I'd get there quicker if I was a man (You know that),33
The Man,Lover Act,And I'm so sick of them comin' at me again (Comin' at me again),34
The Man,Lover Act,"'Cause if I was a man (If I was a man), then I'd be the man (Then I'd be the man)",35
The Man,Lover Act,I'm so sick of running as fast as I can (As fast as I can),36
The Man,Lover Act,Wonderin' if I'd get there quicker if I was a man (Hey),37
The Man,Lover Act,And I'm so sick of them comin' at me again (Comin' at me again),38
The Man,Lover Act,"'Cause if I was a man (If I was a man), then I'd be the man",39
The Man,Lover Act,I'd be the man (Man),40
The Man,Lover Act,"I'd be the man (Man, oh)",41
The Man,Lover Act,"I'd be the man (Man, yeah)",42
The Man,Lover Act,"I'd be the man (Man, I'd be the man)",43
The Man,Lover Act,If I was a man,44
The Man,Lover Act,Then I'd be the man82Embed,45
You Need To Calm Down,Lover Act,You are somebody that I don't know,0
You Need To Calm Down,Lover Act,But you're takin' shots at me like it's Patrón,1
You Need To Calm Down,Lover Act,"And I'm just like, damn, it's 7 AM",2
You Need To Calm Down,Lover Act,"Say it in the street, that's a knock-out",3
You Need To Calm Down,Lover Act,"But you say it in a Tweet, that's a cop-out",4
You Need To Calm Down,Lover Act,"And I'm just like, Hey, are you okay?",5
You Need To Calm Down,Lover Act,And I ain't tryna mess with your self-expression,6
You Need To Calm Down,Lover Act,But I've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun,7
You Need To Calm Down,Lover Act,And snakes and stones never broke my bones,8
You Need To Calm Down,Lover Act,"So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",9
You Need To Calm Down,Lover Act,"You need to calm down, you're being too loud",10
You Need To Calm Down,Lover Act,"And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)",11
You Need To Calm Down,Lover Act,"You need to just stop, like can you just not step on my gown?",12
You Need To Calm Down,Lover Act,You need to calm down,13
You Need To Calm Down,Lover Act,You are somebody that we don't know,14
You Need To Calm Down,Lover Act,But you're comin' at my friends like a missile,15
You Need To Calm Down,Lover Act,Why are you mad when you could be GLAAD? (You could be GLAAD),16
You Need To Calm Down,Lover Act,Sunshine on the street at the parade,17
You Need To Calm Down,Lover Act,But you would rather be in the dark ages,18
You Need To Calm Down,Lover Act,Makin' that sign must've taken all night,19
You Need To Calm Down,Lover Act,You just need to take several seats and then try to restore the peace,20
You Need To Calm Down,Lover Act,And control your urges to scream about all the people you hate,21
You Need To Calm Down,Lover Act,'Cause shade never made anybody less gay,22
You Need To Calm Down,Lover Act,"So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",23
You Need To Calm Down,Lover Act,"You need to calm down, you're being too loud",24
You Need To Calm Down,Lover Act,"And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)",25
You Need To Calm Down,Lover Act,"You need to just stop, like can you just not step on his gown?",26
You Need To Calm Down,Lover Act,You need to calm down,27
You Need To Calm Down,Lover Act,And we see you over there on the internet,28
You Need To Calm Down,Lover Act,Comparing all the girls who are killing it,29
You Need To Calm Down,Lover Act,But we figured you out,30
You Need To Calm Down,Lover Act,We all know now we all got crowns,31
You Need To Calm Down,Lover Act,You need to calm down,32
You Need To Calm Down,Lover Act,"Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh",33
You Need To Calm Down,Lover Act,You need to calm down (You need to calm down),34
You Need To Calm Down,Lover Act,You're being too loud (You're being too loud),35
You Need To Calm Down,Lover Act,"And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)",36
You Need To Calm Down,Lover Act,You need to just stop (Can you stop?),37
You Need To Calm Down,Lover Act,Like can you just not step on our gowns?,38
You Need To Calm Down,Lover Act,You need to calm down123Embed,39
Lover,Lover Act,We could leave the Christmas lights up 'til January,0
Lover,Lover Act,"And this is our place, we make the rules",1
Lover,Lover Act,"And there's a dazzling haze, a mysterious way about you, dear",2
Lover,Lover Act,Have I known you twenty seconds or twenty years?,3
Lover,Lover Act,Can I go where you go?,4
Lover,Lover Act,Can we always be this close?,5
Lover,Lover Act,"Forever and ever, ah",6
Lover,Lover Act,Take me out and take me home,7
Lover,Lover Act,"You're my, my, my, my lover",8
Lover,Lover Act,We could let our friends crash in the living room,9
Lover,Lover Act,"This is our place, we make the call",10
Lover,Lover Act,And I'm highly suspicious that everyone who sees you wants you,11
Lover,Lover Act,"I've loved you three summers now, honey, but I want 'em all",12
Lover,Lover Act,Can I go where you go?,13
Lover,Lover Act,Can we always be this close?,14
Lover,Lover Act,"Forever and ever, ah",15
Lover,Lover Act,Take me out and take me home (Forever and ever),16
Lover,Lover Act,"You're my, my, my, my lover",17
Lover,Lover Act,"Ladies and gentlemen, will you please stand?",18
Lover,Lover Act,With every guitar string scar on my hand,19
Lover,Lover Act,I take this magnetic force of a man to be my lover,20
Lover,Lover Act,My heart's been borrowed and yours has been blue,21
Lover,Lover Act,All's well that ends well to end up with you,22
Lover,Lover Act,Swear to be overdramatic and true to my lover,23
Lover,Lover Act,And you'll save all your dirtiest jokes for me,24
Lover,Lover Act,"And at every table, I'll save you a seat, lover",25
Lover,Lover Act,Can I go where you go?,26
Lover,Lover Act,Can we always be this close?,27
Lover,Lover Act,"Forever and ever, ah",28
Lover,Lover Act,Take me out and take me home (Forever and ever),29
Lover,Lover Act,"You're my, my, my, my",30
Lover,Lover Act,"Oh, you're my, my, my, my",31
Lover,Lover Act,"Darling, you're my, my, my, my lover133Embed",32
The Archer,Lover Act,"Combat, I'm ready for combat",0
The Archer,Lover Act,"I say I don't want that, but what if I do?",1
The Archer,Lover Act,'Cause cruelty wins in the movies,2
The Archer,Lover Act,I've got a hundred thrown-out speeches I almost said to you,3
The Archer,Lover Act,"Easy they come, easy they go",4
The Archer,Lover Act,"I jump from the train, I ride off alone",5
The Archer,Lover Act,"I never grew up, it's getting so old",6
The Archer,Lover Act,Help me hold on to you,7
The Archer,Lover Act,"I've been the archer, I've been the prey",8
The Archer,Lover Act,"Who could ever leave me, darling",9
The Archer,Lover Act,But who could stay?,10
The Archer,Lover Act,"Dark side, I search for your dark side",11
The Archer,Lover Act,"But what if I'm alright, right, right, right here?",12
The Archer,Lover Act,And I cut off my nose just to spite my face,13
The Archer,Lover Act,Then I hate my reflection for years and years,14
The Archer,Lover Act,"I wake in the night, I pace like a ghost",15
The Archer,Lover Act,"The room is on fire, invisible smoke",16
The Archer,Lover Act,And all of my heroes die all alone,17
The Archer,Lover Act,Help me hold on to you,18
The Archer,Lover Act,"I've been the archer, I've been the prey",19
The Archer,Lover Act,"Screaming, who could ever leave me, darling",20
The Archer,Lover Act,But who could stay?,21
The Archer,Lover Act,"(I see right through me, I see right through me)",22
The Archer,Lover Act,'Cause they see right through me,23
The Archer,Lover Act,They see right through me,24
The Archer,Lover Act,They see right through,25
The Archer,Lover Act,Can you see right through me?,26
The Archer,Lover Act,They see right through,27
The Archer,Lover Act,They see right through me,28
The Archer,Lover Act,I see right through me,29
The Archer,Lover Act,I see right through me,30
The Archer,Lover Act,"All the king's horses, all the king's men",31
The Archer,Lover Act,Couldn't put me together again,32
The Archer,Lover Act,'Cause all of my enemies started out friends,33
The Archer,Lover Act,Help me hold on to you,34
The Archer,Lover Act,"I've been the archer, I've been the prey",35
The Archer,Lover Act,"Who could ever leave me, darling",36
The Archer,Lover Act,But who could stay?,37
The Archer,Lover Act,"(I see right through me, I see right through me)",38
The Archer,Lover Act,Who could stay?,39
The Archer,Lover Act,Who could stay?,40
The Archer,Lover Act,Who could stay?,41
The Archer,Lover Act,You could stay,42
The Archer,Lover Act,You could stay,43
The Archer,Lover Act,"Combat, I'm ready for combat77Embed",44
Fearless,Fearless Act,There's something 'bout the way,0
Fearless,Fearless Act,The street looks when it's just rained,1
Fearless,Fearless Act,"There's a glow off the pavement, you walk me to the car",2
Fearless,Fearless Act,And you know I wanna ask you to dance right there,3
Fearless,Fearless Act,"In the middle of the parking lot, yeah",4
Fearless,Fearless Act,"Oh, yeah",5
Fearless,Fearless Act,"We're driving down the road, I wonder if you know",6
Fearless,Fearless Act,I'm trying so hard not to get caught up now,7
Fearless,Fearless Act,"But you're just so cool, run your hands through your hair",8
Fearless,Fearless Act,Absentmindedly making me want you,9
Fearless,Fearless Act,And I don't know how it gets better than this,10
Fearless,Fearless Act,"You take my hand and drag me head first, fearless",11
Fearless,Fearless Act,"And I don't know why but with you, I'd dance",12
Fearless,Fearless Act,"In a storm in my best dress, fearless",13
Fearless,Fearless Act,"So, baby, drive slow 'til we run out of road",14
Fearless,Fearless Act,"In this one horse town, I wanna stay right here",15
Fearless,Fearless Act,In this passenger's seat,16
Fearless,Fearless Act,You put your eyes on me,17
Fearless,Fearless Act,"In this moment now, capture it, remember it",18
Fearless,Fearless Act,'Cause I don't know how it gets better than this,19
Fearless,Fearless Act,"You take my hand and drag me head first, fearless",20
Fearless,Fearless Act,"And I don't know why but with you, I'd dance",21
Fearless,Fearless Act,"In a storm in my best dress, fearless",22
Fearless,Fearless Act,"Well, you stood there with me in the doorway",23
Fearless,Fearless Act,"My hands shake, I'm not usually this way but",24
Fearless,Fearless Act,You pull me in and I'm a little more brave,25
Fearless,Fearless Act,"It's the first kiss, it's flawless, really something",26
Fearless,Fearless Act,It's fearless,27
Fearless,Fearless Act,"Oh, yeah",28
Fearless,Fearless Act,'Cause I don't know how it gets better than this,29
Fearless,Fearless Act,"You take my hand and drag me head first, fearless",30
Fearless,Fearless Act,"And I don't know why but with you, I'd dance",31
Fearless,Fearless Act,"In a storm in my best dress, fearless",32
Fearless,Fearless Act,'Cause I don't know how it gets better than this,33
Fearless,Fearless Act,"You take my hand and drag me head first, fearless",34
Fearless,Fearless Act,"And I don't know why but with you, I'd dance",35
Fearless,Fearless Act,"In a storm in my best dress, fearless",36
Fearless,Fearless Act,"Oh, oh",37
Fearless,Fearless Act,"Oh, yeah38Embed",38
You Belong With Me,Fearless Act,"You're on the phone with your girlfriend, she's upset",0
You Belong With Me,Fearless Act,She's going off about something that you said,1
You Belong With Me,Fearless Act,'Cause she doesn't get your humor like I do,2
You Belong With Me,Fearless Act,"I'm in the room, it's a typical Tuesday night",3
You Belong With Me,Fearless Act,I'm listening to the kind of music she doesn't like,4
You Belong With Me,Fearless Act,And she'll never know your story like I do,5
You Belong With Me,Fearless Act,"But she wears short skirts, I wear T-shirts",6
You Belong With Me,Fearless Act,She's Cheer Captain and I'm on the bleachers,7
You Belong With Me,Fearless Act,Dreaming 'bout the day when you wake up and find,8
You Belong With Me,Fearless Act,That what you're looking for has been here the whole time,9
You Belong With Me,Fearless Act,If you could see that I'm the one who understands you,10
You Belong With Me,Fearless Act,"Been here all along, so why can't you see?",11
You Belong With Me,Fearless Act,"You belong with me, you belong with me",12
You Belong With Me,Fearless Act,Walking the streets with you and your worn-out jeans,13
You Belong With Me,Fearless Act,I can't help thinking this is how it ought to be,14
You Belong With Me,Fearless Act,"Laughing on a park bench, thinking to myself",15
You Belong With Me,Fearless Act,"Hey, isn't this easy?",16
You Belong With Me,Fearless Act,And you've got a smile that could light up this whole town,17
You Belong With Me,Fearless Act,I haven't seen it in a while since she brought you down,18
You Belong With Me,Fearless Act,"You say you're fine, I know you better than that",19
You Belong With Me,Fearless Act,"Hey, whatcha doing with a girl like that?",20
You Belong With Me,Fearless Act,"She wears high heels, I wear sneakers",21
You Belong With Me,Fearless Act,She's Cheer Captain and I'm on the bleachers,22
You Belong With Me,Fearless Act,Dreaming 'bout the day when you wake up and find,23
You Belong With Me,Fearless Act,That what you're looking for has been here the whole time,24
You Belong With Me,Fearless Act,If you could see that I'm the one who understands you,25
You Belong With Me,Fearless Act,"Been here all along, so why can't you see?",26
You Belong With Me,Fearless Act,You belong with me,27
You Belong With Me,Fearless Act,Standing by and waiting at your back door,28
You Belong With Me,Fearless Act,"All this time, how could you not know, baby?",29
You Belong With Me,Fearless Act,"You belong with me, you belong with me",30
You Belong With Me,Fearless Act,"Oh, I remember you driving to my house",31
You Belong With Me,Fearless Act,In the middle of the night,32
You Belong With Me,Fearless Act,I'm the one who makes you laugh,33
You Belong With Me,Fearless Act,When you know you're 'bout to cry,34
You Belong With Me,Fearless Act,And I know your favorite songs,35
You Belong With Me,Fearless Act,And you tell me 'bout your dreams,36
You Belong With Me,Fearless Act,Think I know where you belong,37
You Belong With Me,Fearless Act,Think I know it's with me,38
You Belong With Me,Fearless Act,Can't you see that I'm the one who understands you,39
You Belong With Me,Fearless Act,"Been here all along, so why can't you see?",40
You Belong With Me,Fearless Act,You belong with me,41
You Belong With Me,Fearless Act,Standing by and waiting at your back door,42
You Belong With Me,Fearless Act,"All this time, how could you not know, baby?",43
You Belong With Me,Fearless Act,"You belong with me, you belong with me",44
You Belong With Me,Fearless Act,You belong with me,45
You Belong With Me,Fearless Act,Have you ever thought just maybe,46
You Belong With Me,Fearless Act,You belong with me?,47
You Belong With Me,Fearless Act,You belong with me97Embed,48
Love Story,Fearless Act,We were both young when I first saw you,0
Love Story,Fearless Act,I close my eyes and the flashback starts,1
Love Story,Fearless Act,I'm standing there,2
Love Story,Fearless Act,On a balcony in summer air,3
Love Story,Fearless Act,"See the lights, see the party, the ball gowns",4
Love Story,Fearless Act,See you make your way through the crowd,5
Love Story,Fearless Act,"And say, Hello",6
Love Story,Fearless Act,Little did I know,7
Love Story,Fearless Act,"That you were Romeo, you were throwing pebbles",8
Love Story,Fearless Act,"And my daddy said, Stay away from Juliet",9
Love Story,Fearless Act,And I was crying on the staircase,10
Love Story,Fearless Act,"Begging you, Please don't go, and I said",11
Love Story,Fearless Act,"Romeo, take me somewhere we can be alone",12
Love Story,Fearless Act,"I'll be waiting, all there's left to do is run",13
Love Story,Fearless Act,You'll be the prince and I'll be the princess,14
Love Story,Fearless Act,"It's a love story, baby, just say, Yes",15
Love Story,Fearless Act,So I sneak out to the garden to see you,16
Love Story,Fearless Act,We keep quiet 'cause we're dead if they knew,17
Love Story,Fearless Act,So close your eyes,18
Love Story,Fearless Act,"Escape this town for a little while, oh, oh",19
Love Story,Fearless Act,"'Cause you were Romeo, I was a scarlet letter",20
Love Story,Fearless Act,"And my daddy said, Stay away from Juliet",21
Love Story,Fearless Act,But you were everything to me,22
Love Story,Fearless Act,"I was begging you, Please don't go, and I said",23
Love Story,Fearless Act,"Romeo, take me somewhere we can be alone",24
Love Story,Fearless Act,"I'll be waiting, all there's left to do is run",25
Love Story,Fearless Act,You'll be the prince and I'll be the princess,26
Love Story,Fearless Act,"It's a love story, baby, just say, Yes",27
Love Story,Fearless Act,"Romeo, save me, they're trying to tell me how to feel",28
Love Story,Fearless Act,"This love is difficult, but it's real",29
Love Story,Fearless Act,"Don't be afraid, we'll make it out of this mess",30
Love Story,Fearless Act,"It's a love story, baby, just say, Yes",31
Love Story,Fearless Act,"Oh, oh",32
Love Story,Fearless Act,But I got tired of waiting,33
Love Story,Fearless Act,Wondering if you were ever coming around,34
Love Story,Fearless Act,My faith in you was fading,35
Love Story,Fearless Act,When I met you on the outskirts of town and I said,36
Love Story,Fearless Act,"Romeo, save me, I've been feeling so alone",37
Love Story,Fearless Act,"I keep waiting for you, but you never come",38
Love Story,Fearless Act,Is this in my head? I don't know what to think,39
Love Story,Fearless Act,"He knelt to the ground and pulled out a ring, and said",40
Love Story,Fearless Act,"Marry me, Juliet, you'll never have to be alone",41
Love Story,Fearless Act,I love you and that's all I really know,42
Love Story,Fearless Act,"I talked to your dad, go pick out a white dress",43
Love Story,Fearless Act,"It's a love story, baby, just say 'Yes'",44
Love Story,Fearless Act,"Oh, oh, oh",45
Love Story,Fearless Act,"Oh, oh, oh",46
Love Story,Fearless Act,'Cause we were both young when I first saw you178Embed,47
tis the damn season,evermore Act,If I wanted to know who you were hanging with,0
tis the damn season,evermore Act,"While I was gone, I would've asked you",1
tis the damn season,evermore Act,"It's the kind of cold, fogs up windshield glass",2
tis the damn season,evermore Act,But I felt it when I passed you,3
tis the damn season,evermore Act,"There's an ache in you, put there by the ache in me",4
tis the damn season,evermore Act,But if it's all the same to you,5
tis the damn season,evermore Act,It's the same to me,6
tis the damn season,evermore Act,So we could call it even,7
tis the damn season,evermore Act,You could call me babe for the weekend,8
tis the damn season,evermore Act,"​'Tis the damn season, write this down",9
tis the damn season,evermore Act,I'm stayin' at my parents' house,10
tis the damn season,evermore Act,And the road not taken looks real good now,11
tis the damn season,evermore Act,And it always leads to you and my hometown,12
tis the damn season,evermore Act,I parkеd my car right between the Methodist,13
tis the damn season,evermore Act,And thе school that used to be ours,14
tis the damn season,evermore Act,The holidays linger like bad perfume,15
tis the damn season,evermore Act,"You can run, but only so far",16
tis the damn season,evermore Act,"I escaped it too, remember how you watched me leave",17
tis the damn season,evermore Act,"But if it's okay with you, it's okay with me",18
tis the damn season,evermore Act,We could call it even,19
tis the damn season,evermore Act,You could call me babe for the weekend,20
tis the damn season,evermore Act,"​'Tis the damn season, write this down",21
tis the damn season,evermore Act,I'm stayin' at my parents' house,22
